Document_id,Clean_text,Sentiment
1,honestly absurd good spiderverse movie across spiderverse great,positive
2,animation flow everything genius character development action,positive
3,wasnt already obvious first film officially clear day people behind,positive
4,cliffhanger think rating solidify watch beyond spiderverse see end,positive
5,time since ive walked cinema feeling satisfied film thisi enjoyed,positive
6,spiderman spiderverse probably favorite spiderman movie however feeling spiderman across spiderverse currently glitching one hand action scene spectacular animation,neutral
7,time since ive walked cinema feeling satisfied film ,positive
8,let say first hour film hooked knew film surpass,positive
9,let say first hour film hooked knew film surpass predecessor term story entertainment around,positive
10,absolutely loved spiderverse earned best animated picture oscar best spiderman movie stand landmark animation set record animator working single film record broken sequel five year anticipation talented hand lord miller behind scene super hyped movie prepped love film heard nothing good thing praise well deserved couldnt help walk away saying film wasgoodgiven film stellar reception feel compelled explain giving film respectable first film complete story part end continued dont think thats spoiler considering original teaser advertised across spiderverse part like great cliff hanger past like two tower empire strike back back future part movie need complete selfcontained conflict film complete conflict feeling resolution feel full review currently held hostage fact story incomplete cant give full mark considering story could end like series lost completely undermined whole journeywith way tell thing make movie great animation step even previous groundbreaking entry many different animation style team juggle looked visually stunning may stimulation thought moved right speedthe fan service easter egg whatever want call never overused movie treat easter egg like main course movie balance well never overstay welcome always add story opposed distract itthe humor spot many joke movie laughing awkwardly loud joke dont typical mcu problem detracting serious moment given time breath joke fast paced witty come variety source visual gag character joke situational joke isnt reliant single person humorand action movie next level stuff every fight scene chase scene like bridge fight kung fu panda movement fluid detail superb everything fall right place poetry motion since spidermen action acrobatics reflex work well within story reminder make character much fun write forthere main conflict pop story feeding narrative theme second come focus movie loses momentum nice story reason hero feel completely alone problem raise lot question might get answered later movie ignored positive side think film figured throw one last hook absolutely hooked next onewho know maybe one day trilogy completed come back amend review stand right cant give anything higher gave dont let third movie great power come great responsibility,positive
11,absolutely awesome felt like traveling multiverse childhood back saw tobey maguire spiderman year ago year old seeing spider people including spidercat spiderrex spot traveling venom universe absolutely hilarious hope see ultimate spiderman video game never finished gamecube xbox almost year since kid seeing spiderman p game outstanding hope spiderman beyond spiderverse meet tobey maguire mile team help build device gwen meet andrew garfield spiderman help build device bring mile home,positive
12,generally liked animation constantly reminded trying watch movie without glass petty drama,positive
13,such rare incidents in scenes loved film,positive
14,felt the movie too long,neutral
15,probably wont affected much didnt issue spiderverse apparently increased intensity point left headache ,negative
16,spiderman across spiderverse disappointing sequel film,negative
17,one first half film slow meandering many subplots dont really go,negative
18,loved a good spiderverse movie after a long time,positive
19,year worth wait amazing animation beautiful character rich backstories fight amazing gwens story amazing everything amazing entire movie gorgeous keep hooked almost force continue watching thats amazing hype around movie deserved made sense seeing movie may greatest film ever seenthis isnt run mill kid move action movie animated movie masterpiece age enjoy amazing sequel set extremely high hope third movie,positive
20,absolutely awesome felt like traveling multiverse childhood back saw tobey maguire spiderman year ago year old seeing spider people including spidercat spiderrex spot traveling venom universe absolutely hilarious hope see ultimate spiderman video game never finished gamecube xbox almost year since kid seeing spiderman p game outstanding hope spiderman beyond spiderverse meet tobey maguire mile team help build device gwen meet andrew garfield spiderman help build device bring mile home,positive
21,visually stunning groundbreaking animation unfortunately much take im early younger viewer probably wont affected much didnt issue spiderverse apparently increased intensity point left headache different frame rate character scene visual distortion background time made difficult focus basically visual overstimulation enjoyed story would like see beyond spiderverse may read animation intense film,neutral
22,absolutely freaking awsome movie ,neutral
23,I liked it but could have done better with action scenes,neutral
24,rarely write review movie truly exceptional take everything great first film elevates whole new level honestly never witnessed remarkable animation across spiderverse visuals breathtaking featuring wide array style true multiverse experience abundance captivating detail every frame including numerous easter egg vibrant color palette found wanting end despite substantial length knowing next part released brings immense joy waiting year see story unfolds would agonizingthe story exceptionally wellcrafted expanding upon existing character introducing new one incorporating intriguing twist humor throughout film spoton providing moment levity without undermining emotional depth narrativejust go see,positive
25,animation flow everything genius character development action electrifying one best spiderman adaption deserving high rating entirely love portal connecting dimension spot fun villain shemeik moore hailee steinfield jake johnson oscar issac among everyone else superb much talent movie better nominated best animated feature like previous one year back deserving win movie thats fairly long stayed entertaining start finish keep wanting loved muchalso since review well autism would love opportunity known world real name alex nolan crave movie lot since quite young wish could work movie spend time famous people,positive
26,wasnt already obvious first film officially clear day people behind spiderverse franchise including writersproducers phil lord chris miller absolute creative godsend magnificent place known hollywood understand exactly theyre working withdont let marketing fool film gut easily one heaviest pgrated film ive ever seen payoff character revelation hinted first film carefully deliberately unraveled come around beautifully made think life mean people care way never expected fanservice batty yet somehow never muchi wish every movie good thisbut world like wouldnt feel special ill stick immensely grateful exists universethis ordinary sequel art highest form,positive
27,first know first part one big movie split two harry potter style except everyone theater went nut ended guess doesnt part one title doesnt really stand far story go kind hard rate since set way concluded cant wait see next oneanyway even one half twoparter movie awesome thought liked style spiderverse got another thing coming movie much crazy disappoint boggles mind much stuff even animated allthe visuals got seen believed every scene much going could even say scene art style go way beyond first movie already crazy blending style make one kind movie hard replicate im even sort mad creative energy hadnt released getting insane stuff nowadaysone small complaint combined fast action make bit hard breathe sometimes honestly cant take many point thoughthe soudtrack great cant wait release truly banger actually score movie licensed musicand story awesome well although hard judge seeing next one there lot going first one movie explores character gwen awesome still mile though part also cool loved spotso yeah could say think go see might end one best trilogy time,negative
28,spiderman spiderverse probably favorite spiderman movie however feeling spiderman across spiderverse currently glitching one hand action scene spectacular animation amazing hand movie hour minute long feel like plus visuals kinetic film becomes busy chaotic sequel offer real drama however complete story end cliffhanger think rating solidify watch beyond spiderverse see end,positive
29,absolutely lost word hell top first one easily without shadow doubt film year perfectly balance humour emotional beat razor thin blade richly layered complex attention detail absolutely incredible story phenomenal character believable excellent level depth soundtrack fantastic expectation completely exceeded spent entire h runtime awe one thing deserves special praise artworkthis film aesthetic jawdropping found plunged second time straight page comic book youth use colour remarkable animation smoother silk texture background lighting style everything blend together perfectly create one visually stunning thing ever committed screen almost shot could painting inextricable layer upon layer marvellous detail handcrafted extremely talented individual cinemaif doesnt win oscar best animated feature im rioting youd better join go see film right,positive
30,huge fan first movie excited sequel pretty hopeful saw massive amount rave review online claiming better original well couldnt truth runtime way long felt beginning movie gwens minute opening time film picked pace stake last minute already mentally checking watching time waiting end yes basically nothing resolved end youre wondering multiple people theater groaning credit began rolling due cliffhanger scene stretched far long repetitive dialogue set final movie truly dont see hype one think wrap next year good seen film better job trilogy making second movie mean something feel harsh saying animation soundtrack character awesome feel like people acting like best animated movie released doesnt live greatness predecessor hopefully finale next year make worth,negative
31,wasnt already obvious first film officially clear day people behind spiderverse franchise including writersproducers phil lord chris miller absolute creative godsend magnificent place known hollywood understand exactly theyre working withdont let marketing fool film gut easily one heaviest pgrated film ive ever seen payoff character revelation hinted first film carefully deliberately unraveled come around beautifully made think life mean people care way never expected fanservice batty yet somehow never muchi wish every movie good thisbut world like wouldnt feel special ill stick immensely grateful exists universethis ordinary sequel art highest form,positive
32,take way seriously fails tell compelling storythe writer,negative
33,first know first part one big movie split two harry potter style except everyone theater went nut ended guess doesnt part one title doesnt really stand far story go kind hard rate since set way concluded cant wait see next oneanyway even one half twoparter movie awesome thought liked style spiderverse got another thing coming movie much crazy disappoint boggles mind much stuff even animated allthe visuals got seen believed every scene much going could even say scene art style go way beyond first movie already crazy blending style make one kind movie hard replicate im even sort mad creative energy hadnt released getting insane stuff nowadaysone small complaint combined fast action make bit hard breathe sometimes honestly cant take many point thoughthe soudtrack great cant wait release truly banger actually score movie licensed musicand story awesome well although hard judge seeing next one there lot going first one movie explores character gwen awesome still mile though part also cool loved spotso yeah could say think go see might end one best trilogy time,negative
34,absolutely lost word hell top first one easily without shadow doubt film year perfectly balance humour emotional beat razor thin blade richly layered complex attention detail absolutely incredible story phenomenal character believable excellent level depth soundtrack fantastic expectation completely exceeded spent entire h runtime awe one thing deserves special praise artworkthis film aesthetic jawdropping found plunged second time straight page comic book youth use colour remarkable animation smoother silk texture background lighting style everything blend together perfectly create one visually stunning thing ever committed screen almost shot could painting inextricable layer upon layer marvellous detail handcrafted extremely talented individual cinemaif doesnt win oscar best animated feature im rioting youd better join go see film right,positive
35,im an editor I thoght the animation and colour grading was bad ,negative
36,absolutely awesome felt like traveling multiverse childhood back saw tobey maguire spiderman year ago year old seeing spider people including spidercat spiderrex spot traveling venom universe absolutely hilarious hope see ultimate spiderman video game never finished gamecube xbox almost year since kid seeing spiderman p game outstanding hope spiderman beyond spiderverse meet tobey maguire mile team help build device gwen meet andrew garfield spiderman help build device bring mile home,positive
37,i liked the sound track,positive
38,generally liked animation constantly reminded trying watch movie without glass petty drama endless becomes old fast load action scene immediately devolve slow soap opera drama wife kept nodding whineathones seemed contrived like iteration spider flavor spiderverse endlessly creative entertaining music always suggests exciting action scene becomes little exhausting th th wind long winded exposition seems necessary spoon feed lengthy convoluted plot booked noticed theater sold left end noticed member audience still remained left u spot good albeit comedic villain would suggest going animation humor even min run time,negative
39,it was not that great ,neutral
40,take way seriously fails tell compelling storythe writer apparently tried reuse formula first spiderverse movie expense character growththis movie cliffhanger ending meaning really half movie hurt pacingthe action predictable time story unnecessarily complicated there never fear main character dangeroverall missing wholesome lighthearted moment endearing first movie good movie skip theater catch streamingdvd,positive
41,i love the spiderverse and this movie is too good ,positive
42,Not a good movie,negative
43,really enjoyed spiderverse way people hyped movie made seem like award winning masterpiece cinema opinion fails live legacy first onevisually film spectacle like first one much watching hr film fact cliffhanger end abruptly make feel like overly long incomplete much going film many new character introduced plot finally start pick get good end cliffhanger dont understand people giving movie high score complaining much fast x thing film complete reason felt like wasnt enjoyable couldve,positive
44,I enjoyed the all characters in the movie ,positive
45,not a fan of spiderverse but good movie ,neutral
46,take way seriously fails tell compelling storythe writer apparently tried reuse formula first spiderverse movie expense character growththis movie cliffhanger ending meaning really half movie hurt pacingthe action predictable time story unnecessarily complicated there never fear main character dangeroverall missing wholesome lighthearted moment endearing first movie good movie skip theater catch streamingdvd,positive
47,adjusted rating genuine spectacle could take thousand shot movie turn poster beautiful look id definitely suggest seeing cinema use colour work gone animation undoubtedly highlight actually cant think visually creative movie ive seen great soundtrack quite funny one criticism got deadpool kind style literally everything tongue cheek needed genuinely serious scene break like big argument joke thrown half way also got quite bad dialogue family superhero movie went expecting minor point reallyreal rating half movie man part feel bit cheated went knowing commotion cinema ended lot people annoyed dont get trend cinema great movie need able stand h plenty time tell compelling story without ending cliffhanger think plot wouldve better suited series format already kind like high budget arcane feel obviously wouldnt work first movie wouldnt make much money make great movie shouldve dissolved one sub plot actually finished,positive
48, heartfelt character beat crazy multiverse content packed many delightful ,positive
49,didn't enjoy well,negative
50,not satisfied with the movie,negative
51,acting level didn't reach my expectation,negative
52,It’s a kind average movie what I can say,neutral
53, trying make bigger doesnt increase drama come character plot development,negative
54,dont let marketing fool film,negative
55,wouldnt feel special ,negative
56, villain would suggest going animation humor even min run time,positive
57,amazing sequel set extremely high hope third movie,positive
58,Not a good movie,negative
59, outstanding hope spiderman beyond spiderverse meet tobey maguire mile team help build device gwen meet andrew garfield spiderman help build device bring mile home,positive
60, time score drop given high cannot imagine leveling ,positive
61,Characterisation improvement must done more,negative
62,Its didn’t reach my expectation,negative
63,"I'm upset with movie, I slept in the middle of the movie",negative
64,Its didn’t reach my expectation,negative
65,"It would be an average movie, I can say",neutral
66,best film seen long time best film see theater true masterpiece,negative
67,story unnecessarily complicated which I didn't like,negative
68,cinema opinion fails,negative
69,dont understand people giving movie high score complaining much fast x thing film complete reason felt like wasnt enjoyable couldve,negative
70,including writersproducers phil lord chris miller absolute creative godsend magnificent place,positive
71,time since ive walked cinema feeling satisfied film,positive
72,excellent level depth soundtrack,positive
73, create one visually stunning thing ever committed screen almost shot could painting inextricable layer upon layer marvellous detail handcrafted extremely talented individual cinemaif doesnt win oscar best animated feature im rioting youd better join go see film right,positive
74, since quite young wish could work movie spend time famous people,positive
75,really enjoyed spiderverse way people hyped movie made seem like award winning masterpiece cinema opi,positive
76, end abruptly make feel like overly long incomplete ,negative
77,adjusted rating genuine spectacle could take thousand shot movie turn poster beautiful look id,positive
78, ive seen great soundtrack quite funny,positive
79, one criticism got deadpool kind style literally everything tongue cheek needed genuinely serious scene break,negative
80, chaotic sequel offer real drama however complete story end cliffhanger think rating solidify watch beyond spiderverse see end,neutral
81,animation flow everything genius character development action electrifying one best spiderman adaption deserving high rating entire,positive
82, love opportunity known world real name alex nolan crave movie lot since quite young wish could work movie spend time famous people,positive
83, creative godsend magnificent place known hollywood understand exactly theyre working withdont let marketing fool film gut easily one heaviest pgrated film ive ever seen payoff character revelation hinted first film carefully deliberately unraveled come around beautifully made think life mean people care way never expected fanservice batty yet somehow nev,negative
84,onevisually film spectacle like first one much watching hr film fact cliffhanger end abruptly make feel like overly long incomplete,negative
85,spiderman spiderverse probably favorite spiderman movie however feeling spiderman across spiderverse currently glitching one hand action scene spectacular animation amazing hand movie hour minute long feel like plus visuals k,neutral
86, busy chaotic sequel is bad,negative
87,everything amazing entire movie gorgeous keep hooked,positive
88, beautiful character rich backstories,positive
89,Not bad nor good,neutral
90, well couldnt truth runtime way long felt beginning movie,negative
91,movie length is too long,negative
92,I liked it,positive
93,Very nice movie,positive
94,Very poor animation,negative
95,should've worked on action,negative
96,I loved the movie,positive
97,very bad,negative
98,generally liked animation constantly reminded trying watch movie without glass petty drama endless becomes old fast load action scene immediately devolve slow soap opera drama wife kept nodding whineathones seemed contrived like iteration spider flavor spiderverse endlessly creative entertaining music always suggests exciting action scene becomes little exhausting th th wind long winded exposition seems necessary spoon feed lengthy convoluted plot booked noticed theater sold left end noticed member audience still remained left u spot good albeit comedic villain would,neutral
99,good gorgeous competently made film every scene direction frame constructed meticulously show push boundary animated movie style voice acting good movie,positive
100,side character feel real fleshed,positive
